,scripting,rendering,loading,painting,JS Frame,Layout,Parse HTML,Recalculate Style,Run Microtasks,Paint,Compile Script,Minor GC,Update Layer Tree,Parse Stylesheet,Composite Layers,Evaluate Script,Hit Test,XHR Ready State Change,firstPaint,forcedReflowEvents,fps.mean,fps.variance,fps.sd,fps.lo,fps.hi,Timestamp,AudioHandlers,Documents,Frames,JSEventListeners,LayoutObjects,MediaKeySessions,MediaKeys,Nodes,Resources,ContextLifecycleStateObservers,V8PerContextDatas,WorkerGlobalScopes,UACSSResources,RTCPeerConnections,ResourceFetchers,AdSubframes,DetachedScriptStates,ArrayBufferContents,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,DevToolsCommandDuration,ScriptDuration,V8CompileDuration,TaskDuration,TaskOtherDuration,ThreadTime,ProcessTime,JSHeapUsedSize,JSHeapTotalSize,FirstMeaningfulPaint,DomContentLoaded,NavigationStart,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,secureConnectionStart,unloadEventEnd,unloadEventStart,Animation Frame Fired,Image Decode,XHR Load,Major GC,fps,Fire Idle Callback
0,125.44200038909912,56.1289998292923,16.250999569892883,9.554999947547913,102.83700037002563,32.664000034332275,14.942999720573425,16.22700023651123,7.114999890327454,3.3309998512268066,3.225000023841858,4.461999893188477,7.095999598503113,1.307999849319458,6.187000155448914,0.41300010681152344,0.1419999599456787,0.013000011444091797,1.464496,5,57.71,68415.93,261.56,8.09,1414.43,595801.177088,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,45.0,0.032869,0.014762,0.007789,0.113598,0.003251,0.301759,0.12949,0.344819,1.15625,5297256.0,9969664.0,0.0,595800.723172,595799.416076,1608610555964,1608610555964,1608610556674,1608610556236,1608610556235,1608610556235,1608610555976,1608610555663,1608610555663,1608610554929,1608610556675,1608610556675,1608610554928,0,0,1608610555964,1608610555966,1608610555965,0,0,0,7.377000093460083,0.03699994087219238,0,0,0,0
0,100.96999979019165,58.12199950218201,19.563000321388245,6.191999793052673,85.29599952697754,41.19500005245209,17.66100025177002,12.985999703407288,5.66100001335144,3.656999707221985,3.1380001306533813,3.722999930381775,3.5939998626708984,1.902000069618225,2.4760000705718994,0.26999998092651367,0.3469998836517334,0.009999990463256836,1.456866,5,48.69,472036.42,687.05,20.3,5291.01,595804.763376,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,17.0,0.041377,0.011695,0.006552,0.093195,0.003145,0.266365,0.110401,0.322988,0.890625,5456140.0,7348224.0,0.0,595804.56386,595803.137805,1608610559822,1608610559822,1608610560261,1608610560076,1608610560075,1608610560075,1608610559832,1608610559521,1608610559521,1608610558650,1608610560261,1608610560261,1608610558649,0,0,1608610559822,1608610559823,1608610559823,0,0,0,2.872000217437744,0.05900001525878906,0,0,0,0
0,98.53599977493286,54.6780002117157,16.334999918937683,8.705000162124634,81.88700032234192,31.7849999666214,14.774999737739563,15.616999983787537,6.23199999332428,3.201000690460205,3.097999930381775,2.203999876976013,7.114000201225281,1.5600001811981201,5.447999477386475,0.307999849319458,0.16200006008148193,0.010999917984008789,1.760202,5,56.21,309021.13,555.9,26.33,4424.78,595808.665611,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,39.0,0.031853,0.01513,0.006461,0.090257,0.003046,0.265591,0.118844,0.330145,1.171875,5687216.0,7348224.0,0.0,595808.284157,595806.556606,1608610563263,1608610563263,1608610564166,1608610563796,1608610563795,1608610563795,1608610563268,1608610562961,1608610562961,1608610562068,1608610564166,1608610564166,1608610562068,0,0,1608610563263,1608610563264,1608610563264,0,0,0,4.795999884605408,0.0559999942779541,0,0,0,0
0,110.2650009393692,60.522998452186584,17.044999837875366,9.696000099182129,91.71200025081635,32.81499981880188,15.80299997329712,18.546999096870422,6.800999879837036,3.1379997730255127,2.908000111579895,2.631999969482422,8.93399953842163,1.241999864578247,6.469000339508057,0.25099992752075195,0.22699999809265137,0.011999964714050293,1.463167,5,62.59,290055.12,538.57,26.6,5319.15,595812.479991,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,44.0,0.03292,0.018074,0.00651,0.100955,0.002911,0.28337,0.122,0.329569,1.046875,5818524.0,7348224.0,0.0,595812.015226,595810.583481,1608610567290,1608610567289,1608610567982,1608610567528,1608610567526,1608610567526,1608610567295,1608610566988,1608610566988,1608610566095,1608610567982,1608610567982,1608610566095,0,0,1608610567290,1608610567291,1608610567290,0,0,0,5.949000835418701,0.08899998664855957,0,0,0,0
0,117.86599922180176,62.55199992656708,19.09499990940094,9.841999053955078,95.60299944877625,34.03699994087219,17.7610000371933,19.10100030899048,7.046999931335449,2.890999436378479,2.9480000734329224,4.32200014591217,9.235999822616577,1.3339998722076416,6.916999578475952,0.5009998083114624,0.1779998540878296,0.009999990463256836,1.443885,5,65.6,356480.86,597.06,26.51,5076.14,595816.184935,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,51.0,0.034298,0.018621,0.00616,0.107843,0.002944,0.304906,0.13504,0.361407,1.078125,5351968.0,9707520.0,0.0,595815.75179,595814.339417,1608610571018,1608610571018,1608610571687,1608610571264,1608610571263,1608610571263,1608610571023,1608610570717,1608610570717,1608610569852,1608610571687,1608610571687,1608610569851,0,0,1608610571018,1608610571019,1608610571019,0,0,0,7.4349998235702515,0.03400003910064697,0,0,0,0
0,128.59899961948395,53.641000509262085,18.855000138282776,9.28000009059906,106.53799939155579,31.10799992084503,17.110000252723694,15.48799979686737,7.636000156402588,2.6450001001358032,3.223999857902527,5.09499990940094,6.876000761985779,1.744999885559082,6.5929999351501465,0.30000007152557373,0.1690000295639038,0.018000006675720215,1.493547,5,59.78,2187123.66,1478.89,23.0,15151.51,595820.084052,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,43.0,0.031173,0.014717,0.007075,0.115602,0.0032,0.291993,0.120226,0.334319,1.125,5886236.0,7348224.0,0.0,595819.553398,595818.086431,1608610574794,1608610574794,1608610575584,1608610575066,1608610575065,1608610575065,1608610574799,1608610574493,1608610574493,1608610573599,1608610575584,1608610575584,1608610573598,0,0,1608610574794,1608610574795,1608610574795,0,0,0,5.788000226020813,0.04200005531311035,0,0,0,0
0,127.94399976730347,63.02999985218048,18.76200008392334,10.34999966621399,107.96300053596497,35.76600003242493,17.004000067710876,18.255000233650208,6.815000057220459,3.7399998903274536,3.8400001525878906,3.3529999256134033,8.851999640464783,1.7580000162124634,6.573999762535095,0.4649999141693115,0.15699994564056396,0.01100003719329834,1.470232,5,58.32,65451.16,255.83,18.38,1579.78,595823.979728,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,45.0,0.03593,0.018,0.007848,0.115853,0.003847,0.310511,0.129033,0.349918,0.953125,5899124.0,7348224.0,0.0,595823.417814,595821.979056,1608610578679,1608610578678,1608610579480,1608610578930,1608610578929,1608610578929,1608610578684,1608610578378,1608610578378,1608610577491,1608610579480,1608610579480,1608610577490,0,0,1608610578679,1608610578680,1608610578680,0,0,0,5.496999144554138,0.03600001335144043,0,0,0,0
0,159.28999936580658,73.91800045967102,22.46000063419342,20.902000904083252,127.10999953746796,32.962000012397766,21.361000537872314,24.59000027179718,6.4649999141693115,3.1230005025863647,4.76800000667572,4.108999967575073,15.995000123977661,1.099000096321106,17.743000388145447,0.3799999952316284,0.3710000514984131,0.01100003719329834,1.549512,5,72.82,147569.86,384.15,21.62,2770.08,595829.13278,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,121.0,0.033163,0.02387,0.006741,0.143782,0.00477,0.393751,0.181425,0.456566,2.546875,5216856.0,10231808.0,0.0,595827.393264,595825.871821,1608610582583,1608610582583,1608610584635,1608610582905,1608610582905,1608610582905,1608610582588,1608610582281,1608610582281,1608610581385,1608610584635,1608610584635,1608610581383,0,0,1608610582583,1608610582584,1608610582584,0,0,0,16.44699990749359,0.03600001335144043,0,0,0,0
0,103.67999970912933,56.382999539375305,19.88200044631958,9.373000383377075,85.78599977493286,36.312000036239624,17.94800043106079,13.441999793052673,6.5040000677108765,4.41700005531311,2.8970000743865967,2.346000075340271,6.487999677658081,1.934000015258789,4.83400022983551,0.5019998550415039,0.14100003242492676,0.009999990463256836,1.475217,5,57.81,351764.74,593.1,25.93,4716.98,595833.715528,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,35.0,0.036547,0.012986,0.007821,0.094312,0.002898,0.279348,0.124784,0.330951,0.921875,5476384.0,7610368.0,0.0,595833.409598,595831.966242,1608610588670,1608610588669,1608610589214,1608610588922,1608610588921,1608610588921,1608610588681,1608610588369,1608610588369,1608610587478,1608610589214,1608610589214,1608610587478,0,0,1608610588670,1608610588671,1608610588671,0,0,0,5.634999871253967,0.12200009822845459,0,0,0,0
0,130.49000096321106,55.12799859046936,18.619999647140503,11.321998596191406,106.71600103378296,31.414999842643738,17.060999631881714,15.625999569892883,5.852999925613403,4.533999443054199,3.5920000076293945,7.173999905586243,7.93299925327301,1.559000015258789,6.751999139785767,0.37500011920928955,0.153999924659729,0.009999990463256836,1.506054,5,39.09,77478.28,278.35,21.92,3690.04,595843.950734,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,42.0,0.031738,0.014806,0.008521,0.12013,0.003596,0.308601,0.12981,0.576329,6.9375,5187104.0,6823936.0,0.0,595836.894115,595835.421785,1608610592131,1608610592130,1608610599446,1608610592406,1608610592405,1608610592405,1608610592136,1608610591829,1608610591829,1608610590934,1608610599447,1608610599446,1608610590933,0,0,1608610592131,1608610592132,1608610592131,0,0,0,6.769999980926514,0.03600001335144043,0,0,0,0
